Region,forbm
USA,NormalDistribution(5.325e-05, 1.42e-05)
CAN,NormalDistribution(1.123e-05, 7.15e-05)
WEU,NormalDistribution(2.528e-05, 5e-06)
JPK,NormalDistribution(4.173e-05, 1.23e-05)
ANZ,NormalDistribution(-0.0001211, 3.25e-05)
EEU,NormalDistribution(5.462e-05, 2.47e-05)
FSU,NormalDistribution(-2.348e-05, 5.31e-05)
MDE,NormalDistribution(0.0, 3.38e-05)
CAM,NormalDistribution(1.806e-05, 3.42e-05)
LAM,NormalDistribution(2.411e-05, 1.19e-05)
SAS,NormalDistribution(6.237e-05, 2.29e-05)
SEA,NormalDistribution(6.674e-05, 2.77e-05)
CHI,NormalDistribution(8.723e-05, 3.2e-05)
MAF,NormalDistribution(0.0, 3.38e-05)
SSA,NormalDistribution(1.141e-05, 3.45e-05)
SIS,NormalDistribution(0.0, 3.38e-05)
